[0.162, 0.450]
[0.639, 0.970]
[1.191, 1.357]
[1.456, 1.534]
[1.583, 1.403]
[1.382, 1.423]
[1.614, 1.586]
[1.527, 1.437]
[0.139, 0.402]
[0.550, 0.884]
[1.120, 1.322]
[1.470, 1.502]
[1.584, 1.523]
[1.503, 1.488]
[1.534, 1.469]
[1.467, 1.354]
[0.169, 0.407]
[0.519, 0.805]
[1.017, 1.192]
[1.323, 1.343]
[1.367, 1.280]
[1.256, 1.256]
[1.327, 1.284]
[1.272, 1.153]
[0.214, 0.469]
[0.577, 0.767]
[0.888, 1.012]
[1.135, 1.160]
[1.187, 1.099]
[1.074, 1.078]
[1.160, 1.153]
[1.172, 1.085]
[0.284, 0.564]
[0.674, 0.666]
[0.786, 1.016]
[1.141, 1.078]
[1.073, 1.384]
[1.448, 1.451]
[1.058, 1.050]
[1.181, 1.097]
[0.300, 0.610]
[0.762, 0.793]
[0.827, 1.008]
[1.132, 1.025]
[0.980, 1.464]
[1.575, 1.501]
[0.999, 1.041]
[1.200, 1.121]
[0.298, 0.606]
[0.756, 0.787]
[0.828, 1.028]
[1.170, 1.082]
[1.048, 1.533]
[1.641, 1.559]
[1.046, 1.067]
[1.209, 1.114]
[0.297, 0.604]
[0.754, 0.784]
[0.825, 1.024]
[1.166, 1.078]
[1.044, 1.527]
[1.635, 1.553]
[1.042, 1.064]
[1.205, 1.110]
[0.172, 0.361]
[0.453, 0.586]
[0.684, 0.842]
[0.956, 0.875]
[0.844, 0.769]
[0.752, 0.765]
[0.842, 0.862]
[0.989, 0.910]
[0.172, 0.362]
[0.454, 0.588]
[0.686, 0.845]
[0.960, 0.879]
[0.848, 0.772]
[0.755, 0.768]
[0.845, 0.865]
[0.992, 0.913]
[0.173, 0.365]
[0.457, 0.593]
[0.696, 0.868]
[0.990, 0.912]
[0.883, 0.808]
[0.790, 0.800]
[0.875, 0.891]
[1.008, 0.919]
[0.186, 0.398]
[0.501, 0.645]
[0.771, 0.937]
[1.030, 0.967]
[0.957, 0.898]
[0.883, 0.885]
[0.944, 0.941]
[1.063, 0.998]
[0.231, 0.429]
[0.531, 0.711]
[0.838, 0.932]
[1.024, 1.028]
[1.040, 1.002]
[0.991, 0.993]
[1.030, 1.029]
[1.053, 0.987]
[0.263, 0.451]
[0.554, 0.751]
[0.901, 1.031]
[1.131, 1.140]
[1.156, 1.127]
[1.116, 1.107]
[1.128, 1.097]
[1.099, 1.009]
[0.287, 0.476]
[0.589, 0.838]
[1.020, 1.155]
[1.279, 1.307]
[1.308, 1.268]
[1.257, 1.256]
[1.287, 1.259]
[1.246, 1.150]
